,#,name,distributor_full_name,release_date,genre,runtime,rating,budget,rest_world,studio,total_gross,theaters_total,opening,theaters_opening,open_date,close_date
764,765,Hannah (2018),Parade Deck Films,"March 9, 2018",Drama,1 hrs. 35 min.,Unrated,N/A,n/a,PDF,"$11,700",2,"$11,700",2,3/9,-
765,766,This is Our Land,Distrib Films,"April 18, 2018",Drama,1 hrs. 57 min.,Unrated,N/A,no dist,Distrib.,"$11,567",2,"$2,442",1,4/18,5/3
766,767,Souvenir,Strand,"March 2, 2018",Drama,1 hrs. 30 min.,Unrated,N/A,n/a,Strand,"$11,411",3,"$2,267",1,3/2,-
767,768,Rendezvous in July (2018 re-release),Rialto,"August 1, 2018",Comedy / Drama,1 hrs. 40 min.,Unrated,N/A,no dist,Rialto,"$11,321",2,"$6,080",1,8/1,-
768,769,The Public Image is Rotten,Abramorama,"September 14, 2018",Documentary,1 hrs. 43 min.,Unrated,N/A,no dist,Abr.,"$11,293",1,"$8,052",1,9/14,10/21
769,770,Bullitt County,Mr. Pictures,"October 26, 2018",Thriller,1 hrs. 38 min.,Unrated,N/A,no dist,Mr. Pictures,"$11,257",9,"$6,511",9,10/26,11/15
770,771,The Assassin's Code,Gravitas Ventures,"May 11, 2018",Thriller,1 hrs. 35 min.,Unrated,N/A,no dist,Grav.,"$11,218",12,"$11,218",12,5/11,-
771,772,The Wedding Party 2: Destination Dubai,IronFlix,"February 14, 2018",Comedy,1 hrs. 38 min.,Unrated,N/A,no dist,IronFlix,"$11,140",2,"$4,905",2,2/14,2/25
772,773,Class Rank,Cinedigm Entertainment,"May 11, 2018",Comedy,1 hrs. 43 min.,Unrated,N/A,no dist,Cdgm.,"$10,452",14,N/A,N/A,5/11,-
773,774,Mama Africa Miriam Makeba,Artmattan Prods.,"January 19, 2018",Documentary,1 hrs. 30 min.,Unrated,N/A,no dist,Artma,"$10,430",1,"$3,495",1,1/19,2/15
774,775,The Advocates,Cinema Libre Studio,"October 19, 2018",Documentary,1 hrs. 27 min.,Unrated,N/A,no dist,CLS,"$10,402",4,"$4,355",1,10/19,11/1
775,776,Around India with a Movie Camera,Icarus Films,"November 30, 2018",Documentary,1 hrs. 12 min.,Unrated,N/A,no dist,Icar.,"$10,389",1,$183,1,11/30,-
776,777,Heavy Trip,Music Box Films,"October 5, 2018",Action Comedy,1 hrs. 30 min.,Unrated,N/A,no dist,MBox,"$10,153",19,"$5,419",16,10/5,12/20
777,778,Time Freak,Grindstone Entertainment,"November 9, 2018",Comedy / Drama,1 hrs. 44 min.,PG-13,N/A,"$256,487",Grindstone,"$10,003",N/A,N/A,N/A,11/9,-
778,779,Furious (Legend of Kolovrat),CARUSEL,"April 20, 2018",Action,1 hrs. 47 min.,Unrated,N/A,n/a,CARUSEL,"$9,996",15,"$6,964",15,4/20,5/3
779,780,The Owl's Legacy,Icarus Films,"November 9, 2018",Documentary,5 hrs. 40 min.,Unrated,N/A,no dist,Icar.,"$9,981",1,N/A,N/A,11/9,-
780,781,River Runs Red,Cinedigm Entertainment,"November 9, 2018",Drama / Thriller,1 hrs. 24 min.,Unrated,N/A,no dist,Cdgm.,"$9,893",20,"$6,349",20,11/9,-
781,782,Please Stand By,Magnolia,"January 26, 2018",Comedy / Drama,1 hrs. 33 min.,PG-13,N/A,no dist,Magn.,"$9,868",7,"$4,090",5,1/26,2/22
782,783,The Quest of Alain Ducasse,Magnolia,"June 8, 2018",Documentary,1 hrs. 24 min.,Unrated,N/A,no dist,Magn.,"$9,627",5,"$2,711",1,6/8,6/28
783,784,Strangers on the Earth,First Run,"May 4, 2018",Documentary,1 hrs. 36 min.,Unrated,N/A,no dist,FRun,"$9,518",2,"$3,768",1,5/4,6/3
784,785,El Mar La Mar,Cinema Guild,"February 23, 2018",Documentary,1 hrs. 34 min.,Unrated,N/A,no dist,CGld,"$9,065",2,"$3,375",1,2/23,-
785,786,Step Up: High Water Premiere,Fathom,"January 30, 2018",Documentary,2 hrs. 0 min.,Unrated,N/A,no dist,Fathom,"$9,005",378,N/A,N/A,1/30,1/30
786,787,Zoo Wars,Parade Deck Films,"April 27, 2018",Animation,1 hrs. 15 min.,G,N/A,no dist,PDF,"$8,998",12,"$8,998",12,4/27,-
787,788,Survivors Guide to Prison,Gravitas Ventures,"February 23, 2018",Documentary,1 hrs. 42 min.,Unrated,N/A,no dist,Grav.,"$8,982",4,"$8,982",4,2/23,2/25
788,789,Summer of '67,Mainstreet,"June 29, 2018",Drama,1 hrs. 23 min.,Unrated,N/A,no dist,MS,"$8,941",1,"$5,400",1,6/29,-
789,790,Beauty and the Dogs,Oscilloscope Pictures,"March 23, 2018",Drama,1 hrs. 40 min.,Unrated,N/A,n/a,Osci.,"$8,915",4,"$3,055",2,3/23,6/17
790,791,Blood Feast,Hannover House,"April 6, 2018",Horror Thriller,1 hrs. 36 min.,R,$1.2 million,no dist,Hann.,"$8,708",3,"$4,046",1,4/6,5/3
791,792,Furlough,IFC,"March 16, 2018",Comedy,1 hrs. 23 min.,R,N/A,no dist,IFC,"$8,472",2,N/A,2,3/16,-
792,793,The Clovehitch Killer,IFC,"November 16, 2018",Drama / Thriller,1 hrs. 49 min.,Unrated,N/A,no dist,IFC,"$8,208",26,"$5,175",26,11/16,11/25
793,794,Spiral,Cohen Media Group,"June 22, 2018",Documentary,1 hrs. 19 min.,Unrated,N/A,no dist,Cohen,"$8,190",2,"$3,258",2,6/22,7/8
794,795,Dark River,FilmRise,"June 29, 2018",Drama,1 hrs. 31 min.,Unrated,N/A,no dist,FR,"$7,714",2,"$4,246",2,6/29,7/5
795,796,Legend of the Mountain (2017 re-release),Kino Lorber,"February 2, 2018",Action / Adventure,3 hrs. 4 min.,Unrated,N/A,no dist,KL,"$7,640",2,N/A,N/A,2/2,4/5
796,797,The Lodgers,Epic Pictures,"February 23, 2018",Horror,1 hrs. 33 min.,R,N/A,no dist,EpicPics,"$7,362",17,"$5,053",17,2/23,-
797,798,Shoah: Four Sisters,Cohen Media Group,"November 14, 2018",Documentary,4 hrs. 33 min.,Unrated,N/A,no dist,Cohen,"$7,323",3,"$2,840",1,11/14,11/25
798,799,Tall: The American Skyscraper and Louis Sullivan,Cinema Guild,"January 19, 2018",Documentary,1 hrs. 19 min.,Unrated,N/A,no dist,CGld,"$7,216",1,"$7,216",1,1/19,1/21
799,800,Painless,Indican,"September 21, 2018",Drama / Thriller,1 hrs. 21 min.,Unrated,N/A,no dist,Indic.,"$7,082",2,"$2,958",2,9/21,11/8
800,801,In Echo Park,Indican,"October 12, 2018",Crime Drama,1 hrs. 22 min.,Unrated,N/A,no dist,Indic.,"$7,072",2,"$4,222",2,10/12,11/8
801,802,This is Congo,Abramorama,"June 29, 2018",Documentary,1 hrs. 31 min.,Unrated,N/A,no dist,Abr.,"$7,051",2,"$3,690",1,6/29,7/5
802,803,In the Land of Pomegranates,First Run,"January 5, 2018",Documentary,2 hrs. 0 min.,Unrated,N/A,no dist,FRun,"$7,014",1,"$3,072",1,1/5,1/18
803,804,Duckbutter,The Orchard,"April 27, 2018",Comedy / Drama,1 hrs. 33 min.,Unrated,N/A,no dist,Orch.,"$6,877",2,"$2,797",2,4/27,5/17
804,805,Calling All Earthlings,Carpe Stella,"June 29, 2018",Documentary,1 hrs. 14 min.,Unrated,N/A,no dist,Carpe Stella,"$6,756",1,N/A,N/A,6/29,-
805,806,A Whale of a Tale,Fine Line Media,"August 17, 2018",Documentary,1 hrs. 35 min.,Unrated,N/A,no dist,FLM,"$6,747",1,N/A,N/A,8/17,-
806,807,An Evening with Beverly Luff Linn,The Film Arcade,"October 19, 2018",Crime Comedy,1 hrs. 48 min.,R,N/A,no dist,TFA,"$6,701",16,"$5,212",16,10/19,10/25
807,808,School of Life,Distrib Films,"September 7, 2018",Drama,1 hrs. 56 min.,Unrated,N/A,no dist,Distrib.,"$6,300",2,N/A,N/A,9/7,-
808,809,The Quake,Magnolia,"December 14, 2018",Action Thriller,1 hrs. 46 min.,PG,N/A,n/a,Magn.,"$6,235",7,"$3,256",7,12/14,12/27
809,810,One Last Thing (2018),Fathom,"June 13, 2018",Drama,1 hrs. 31 min.,Unrated,N/A,no dist,Fathom,"$6,232",151,N/A,N/A,6/13,6/13
810,811,I Am MLK Jr.,Gathr Films,"May 3, 2018",Documentary,1 hrs. 35 min.,Unrated,N/A,no dist,Gathr,"$5,918",2,N/A,N/A,5/3,-
811,812,Are We Not Cats,Cleopatra Films,"February 23, 2018",Horror Comedy,1 hrs. 17 min.,Unrated,N/A,no dist,Cleopatra,"$5,518",2,"$3,983",2,2/23,3/1
812,813,Cuban Food Stories,First Run,"August 10, 2018",Documentary,1 hrs. 22 min.,Unrated,N/A,no dist,FRun,"$5,434",1,"$3,032",1,8/10,-
813,814,Postcards from London,Strand,"November 9, 2018",Drama,1 hrs. 28 min.,Unrated,N/A,no dist,Strand,"$5,312",1,"$2,686",1,11/9,1/10
814,815,"Distant Voices, Still Lives (2018 reissue)",Arrow Films,"August 31, 2018",Unknown,1 hrs. 24 min.,PG-13,N/A,no dist,Arrow,"$5,234",1,"$2,395",1,8/31,9/9
815,816,In Searching,Indican,"November 9, 2018",Adventure,1 hrs. 30 min.,Unrated,N/A,no dist,Indic.,"$5,210",2,"$3,090",2,11/9,11/22
816,817,12 Days,Distrib Films,"March 16, 2018",Documentary,1 hrs. 27 min.,Unrated,N/A,no dist,Distrib.,"$5,204",2,$923,1,3/16,7/14
817,818,Intersection (2018),Indican,"June 15, 2018",Crime Drama,1 hrs. 23 min.,Unrated,N/A,no dist,Indic.,"$5,116",2,"$1,940",2,6/15,8/9
818,819,Notes on Appearance,Grasshopper Film,"August 17, 2018",Drama / Thriller,1 hrs. 0 min.,Unrated,N/A,no dist,Ghop,"$5,065",2,"$2,239",1,8/17,-
819,820,The Texture of Falling,BloodSweatHoney,"June 1, 2018",Drama,1 hrs. 15 min.,Unrated,N/A,no dist,BloodSweatHo,"$5,010",1,N/A,N/A,6/1,6/22
820,821,Social Animals,Vertical Entertainment,"June 1, 2018",Comedy / Drama,1 hrs. 24 min.,R,N/A,no dist,VE,"$5,007",75,"$2,505",75,6/1,6/7
821,822,An L.A. Minute,Strand,"August 24, 2018",Comedy,1 hrs. 26 min.,R,N/A,no dist,Strand,"$5,004",3,"$2,791",3,8/24,8/30
822,823,Edward II (2018 re-release),Film Movement,"May 4, 2018",Drama,1 hrs. 27 min.,R,N/A,n/a,FM,"$4,826",1,"$1,701",1,5/4,5/17
823,824,Status Update,Vertical Entertainment,"March 30, 2018",Comedy,1 hrs. 46 min.,PG-13,N/A,no dist,VE,"$4,764",75,"$2,205",75,3/30,-
824,825,The Other Side of Everything,Icarus Films,"July 13, 2018",Documentary,1 hrs. 40 min.,Unrated,N/A,no dist,Icar.,"$4,685",2,$315,1,7/13,-
825,826,The Long Dumb Road,The Film Arcade,"November 9, 2018",Comedy,1 hrs. 30 min.,R,N/A,no dist,TFA,"$4,667",1,"$4,667",1,11/9,-
826,827,Kangaroo,Abramorama,"January 19, 2018",Documentary,1 hrs. 43 min.,Unrated,N/A,no dist,Abr.,"$4,547",2,"$2,282",2,1/19,1/25
827,828,Kickboxer Retaliation,Well Go USA,"January 26, 2018",Action,1 hrs. 50 min.,R,N/A,no dist,WGUSA,"$4,537",10,"$3,061",10,1/26,2/1
828,829,Weightless,Great Point,"November 9, 2018",Drama,1 hrs. 33 min.,R,N/A,no dist,Great Point,"$4,461",3,"$2,515",2,11/9,12/13
829,830,The Peacemaker (2018),Central Square,"February 9, 2018",Documentary,1 hrs. 30 min.,Unrated,N/A,no dist,Central Squa,"$4,400",1,"$4,400",1,2/9,2/11
830,831,Small Group (Theatrical on Demand(r)),Gathr Films,"October 18, 2018",Drama,2 hrs. 0 min.,PG-13,N/A,no dist,Gathr,"$4,299",3,"$4,299",3,10/18,10/21
831,832,Stella's Last Weekend,Paladin,"October 12, 2018",Comedy / Drama,1 hrs. 42 min.,Unrated,N/A,no dist,Pala.,"$4,215",4,"$2,375",2,10/12,11/8
832,833,The Party's Just Beginning,The Orchard,"December 7, 2018",Comedy / Drama,1 hrs. 31 min.,Unrated,N/A,no dist,Orch.,"$4,145",10,"$2,770",10,12/7,12/13
833,834,Armed,GVN Releasing,"September 14, 2018",Action,1 hrs. 58 min.,R,N/A,no dist,GVN,"$3,948",10,"$2,227",10,9/14,9/20
834,835,American Dresser,Cinedigm Entertainment,"September 21, 2018",Drama,1 hrs. 37 min.,Unrated,N/A,no dist,Cdgm.,"$3,895",11,"$2,211",11,9/21,10/4
835,836,The Second Time Around,First Run,"November 30, 2018",Romantic Comedy,1 hrs. 47 min.,Unrated,N/A,no dist,FRun,"$3,837",1,N/A,N/A,11/30,12/20
836,837,Cocote,Grasshopper Film,"August 3, 2018",Drama,1 hrs. 46 min.,Unrated,N/A,no dist,Ghop,"$3,815",2,"$1,436",1,8/3,-
837,838,Nelly,Cinema Libre Studio,"September 7, 2018",Drama,1 hrs. 40 min.,Unrated,N/A,no dist,CLS,"$3,751",2,"$1,304",1,9/7,9/20
838,839,La Familia,Film Movement,"August 3, 2018",Drama,1 hrs. 22 min.,Unrated,N/A,no dist,FM,"$3,696",2,"$2,030",1,8/3,10/4
839,840,FourPlay,Parade Deck Films,"March 30, 2018",Comedy / Drama,1 hrs. 18 min.,Unrated,N/A,no dist,PDF,"$3,550",2,"$3,550",2,3/30,-
840,841,The Citizen (2018),Artmattan Prods.,"July 6, 2018",Drama,1 hrs. 49 min.,Unrated,N/A,no dist,Artma,"$3,495",1,N/A,N/A,7/6,-
841,842,Under the Wire,Abramorama,"November 16, 2018",Documentary,1 hrs. 35 min.,R,N/A,no dist,Abr.,"$3,429",2,"$2,271",2,11/16,11/22
842,843,Cage Fighter,IFC,"February 2, 2018",Documentary,1 hrs. 21 min.,Not Yet Rated,N/A,no dist,IFC,"$3,392",2,"$1,204",2,2/2,2/8
843,844,Followers,Cinedigm Entertainment,"March 23, 2018",Horror,1 hrs. 22 min.,Unrated,N/A,no dist,Cdgm.,"$3,350",10,N/A,N/A,3/23,3/29
844,845,Tom of Finland (Gathr Release),Gathr Films,"February 23, 2018",Drama,1 hrs. 55 min.,Unrated,N/A,no dist,Gathr,"$3,314",1,N/A,1,2/23,-
845,846,At First Light,Entertainment One,"September 28, 2018",Sci-Fi,1 hrs. 31 min.,Unrated,N/A,no dist,EOne,"$3,292",5,$274,5,9/28,10/18
846,847,Over the Limit,Film Movement,"October 12, 2018",Documentary,1 hrs. 13 min.,Unrated,N/A,no dist,FM,"$3,243",2,"$1,402",1,10/12,1/10
847,848,Game Changers,Ammo Content,"June 29, 2018",Documentary,1 hrs. 25 min.,Unrated,N/A,no dist,Ammo,"$3,142",1,"$3,142",1,6/29,-
848,849,Hot to Trot (2018),First Run,"August 24, 2018",Documentary,1 hrs. 28 min.,Unrated,N/A,no dist,FRun,"$3,133",1,"$3,133",1,8/24,-
849,850,Nana,Fun Academy,"April 13, 2018",Documentary,1 hrs. 40 min.,Unrated,N/A,no dist,FunAcad,"$2,784",1,"$1,240",1,4/13,4/19
850,851,Straight into a Storm,Abramorama,"June 15, 2018",Documentary,1 hrs. 50 min.,Unrated,N/A,no dist,Abr.,"$2,684",1,"$1,964",1,6/15,6/21
851,852,ACORN and the Firestorm,First Run,"April 6, 2018",Documentary,1 hrs. 24 min.,Unrated,N/A,no dist,FRun,"$2,621",1,"$2,621",1,4/6,-
852,853,El Pacto,Sony / Columbia,"October 26, 2018",Horror Thriller,1 hrs. 45 min.,R,N/A,n/a,Sony,"$2,488",10,"$1,453",10,10/26,11/1
853,854,The Swan,Synergetic Distribution,"August 10, 2018",Drama,1 hrs. 32 min.,Unrated,N/A,n/a,Synergetic,"$2,367",2,$898,1,8/10,-
854,855,10x10,Vertical Entertainment,"April 13, 2018",Thriller,1 hrs. 28 min.,Unrated,N/A,no dist,VE,"$2,263",10,N/A,10,4/13,-
855,856,A Wizard's Tale,Blue Fox Entertainment,"September 14, 2018",Animation,1 hrs. 37 min.,Unrated,N/A,no dist,Blue Fox,"$2,150",10,"$1,593",10,9/14,9/20
856,857,West of the Jordan River,Kino Lorber,"January 26, 2018",Documentary,1 hrs. 24 min.,Unrated,N/A,no dist,KL,"$1,926",1,"$1,047",1,1/26,2/1
857,858,Finding Happiness,Gathr Films,"April 6, 2018",Documentary,1 hrs. 36 min.,Unrated,N/A,no dist,Gathr,"$1,841",1,$617,1,4/6,-
858,859,The Lost Village,First Run,"October 19, 2018",Documentary,1 hrs. 29 min.,Unrated,N/A,no dist,FRun,"$1,780",1,$840,1,10/19,11/15
859,860,An Actor Prepares,Gravitas Ventures,"August 31, 2018",Comedy / Drama,1 hrs. 37 min.,Unrated,N/A,n/a,Grav.,"$1,743",25,$933,25,8/31,9/6
860,861,Henchmen,Entertainment One,"December 7, 2018",Animation,1 hrs. 29 min.,Unrated,N/A,no dist,EOne,"$1,469",3,$580,3,12/7,-
861,862,That Way Madness Lies,First Run,"December 14, 2018",Documentary,1 hrs. 41 min.,Unrated,N/A,no dist,FRun,"$1,447",2,$579,2,12/14,12/20
862,863,Marrowbone,Magnolia,"April 13, 2018",Horror Thriller,1 hrs. 50 min.,R,N/A,"$12,293,554",Magn.,"$1,377",7,$624,7,4/13,5/3
863,864,Beauty and the Beholder,Reel One,"October 26, 2018",Comedy / Drama,1 hrs. 35 min.,Unrated,N/A,no dist,R1,"$1,368",1,"$1,352",1,10/26,10/29
864,865,I Still See You,Lionsgate,"October 12, 2018",Thriller,1 hrs. 38 min.,PG-13,N/A,"$1,455,225",LGF,"$1,359",10,$815,10,10/12,10/18
865,866,Billionaire Boy's Club,Vertical Entertainment,"August 17, 2018",Thriller,1 hrs. 48 min.,R,N/A,"$2,455,528",VE,"$1,349",N/A,N/A,N/A,8/17,-
866,867,Guy (2018),Distrib Films,"December 14, 2018",Comedy / Drama,1 hrs. 41 min.,Unrated,N/A,no dist,Distrib.,"$1,319",2,"$1,319",2,12/14,-
867,868,Altered Perception,Cinedigm Entertainment,"May 4, 2018",Sci-Fi Fantasy,1 hrs. 19 min.,Unrated,N/A,no dist,Cdgm.,"$1,259",10,N/A,N/A,5/4,-
868,869,Two Men Went to War (2018 re-release),Indican,"May 25, 2018",War,1 hrs. 49 min.,PG,N/A,no dist,Indic.,"$1,227",1,$185,1,5/25,-
869,870,Under the Turban,Gathr Films,"April 25, 2018",Documentary,1 hrs. 29 min.,Unrated,N/A,no dist,Gathr,"$1,190",1,N/A,N/A,4/25,-
870,871,Half Brothers,Parade Deck Films,"September 21, 2018",Comedy / Drama,1 hrs. 37 min.,Unrated,N/A,no dist,PDF,"$1,100",3,"$1,100",3,9/21,-
871,872,Invisible Hands,First Run,"November 23, 2018",Documentary,1 hrs. 20 min.,Unrated,N/A,no dist,FRun,"$1,034",1,$456,1,11/23,12/2
872,873,Gangsterdam,Distrib Films,"September 19, 2018",Comedy Thriller,1 hrs. 40 min.,Unrated,N/A,no dist,Distrib.,$954,1,N/A,N/A,9/19,9/27
873,874,The Breadwinner (Gathr Release),Gathr Films,"April 13, 2018",Animation,1 hrs. 34 min.,PG-13,N/A,no dist,Gathr,$834,1,$834,1,4/13,-
874,875,TVTV: Video Revolutionaries ,First Run,"October 19, 2018",Documentary,1 hrs. 22 min.,Unrated,N/A,no dist,FRun,$812,1,$556,1,10/19,10/25
875,876,Higher Power,Magnolia,"May 11, 2018",Action,1 hrs. 33 min.,R,N/A,no dist,Magn.,$528,3,$299,3,5/11,5/17
876,877,The Legend of Hallowaiian,Viva Pictures Distribution,"October 19, 2018",Animation,1 hrs. 22 min.,PG,N/A,no dist,VPD,$451,20,N/A,N/A,10/19,11/8
877,878,Realms,The Film Arcade,"September 7, 2018",Horror,1 hrs. 30 min.,R,N/A,no dist,TFA,$147,3,$108,3,9/7,9/13
